Code,Occupation,National Shortage Rating,Victoria Shortage Rating,Skill Level
512111,Office Manager,No shortage,No shortage,2
311214,Operating Theatre Technician,No shortage,No shortage,3
253914,Ophthalmologist,Shortage,Shortage,1
399913,Optical Dispenser / Dispensing Optician,No shortage,No shortage,3
399914,Optical Mechanic,No shortage,No shortage,3
251411,Optometrist,No shortage,No shortage,1
591117,Order Clerk,No shortage,No shortage,4
224712,Organisation and Methods Analyst,No shortage,No shortage,1
272313,Organisational Psychologist,Shortage,Shortage,1
253514,Orthopaedic Surgeon,Shortage,Shortage,1
251412,Orthoptist,Shortage,Shortage,1
251912,Orthotist or Prosthetist,Shortage,Shortage,1
252112,Osteopath,Shortage,Shortage,1
312914,Other Draftsperson,No shortage,No shortage,2
639911,Other Sales Support Worker,No shortage,No shortage,4
232214,Other Spatial Scientist,Shortage,Shortage,1
452317,Other Sports Coach or Instructor,No shortage,No shortage,4
452323,Other Sports Official,No shortage,No shortage,3
711314,Other Wood Processing Machine Operator,Shortage,Shortage,4
253515,Otorhinolaryngologist,Shortage,Shortage,1
421114,Out of School Hours Care Worker,Regional shortage,Regional shortage,3
452299,Outdoor Adventure Guides nec,Shortage,Shortage,3
452215,Outdoor Adventure Instructor,Shortage,Shortage,3
253516,Paediatric Surgeon,Shortage,Shortage,1
253321,Paediatrician,Shortage,Shortage,1
332211,Painter,Shortage,Shortage,3
211411,Painter (Visual Arts),No shortage,No shortage,1
324111,Panelbeater,Shortage,Shortage,3
712916,Paper and Pulp Mill Operator,No shortage,No shortage,4
711311,Paper Products Machine Operator,No shortage,No shortage,4
234314,Park Ranger,No shortage,No shortage,1
411714,Parole or Probation Officer,No shortage,No shortage,2
731213,Passenger Coach Driver,No shortage,No shortage,4
351112,Pastrycook,Regional shortage,Regional shortage,3
224914,Patents Examiner,No shortage,No shortage,1
253915,Pathologist,Shortage,Shortage,1
311216,Pathology Collector / Phlebotomist,No shortage,No shortage,3
721913,Paving Plant Operator,No shortage,No shortage,4
551311,Payroll Clerk,No shortage,No shortage,4
261317,Penetration Tester,No shortage,No shortage,1
399599,Performing Arts Technicians nec,No shortage,No shortage,3
521111,Personal Assistant,No shortage,No shortage,2
423313,Personal Care Assistant,No shortage,No shortage,4
451899,Personal Service Workers nec,No shortage,No shortage,4
843411,Pest Control Technician,No shortage,No shortage,4
361113,Pet Groomer,No shortage,No shortage,4
233612,Petroleum Engineer,Shortage,Shortage,1
621411,Pharmacy Sales Assistant,No shortage,No shortage,4
311215,Pharmacy Technician,Regional shortage,Regional shortage,2
211311,Photographer,No shortage,No shortage,2
399915,Photographer's Assistant,No shortage,No shortage,4
711411,Photographic Developer and Printer,No shortage,No shortage,4
234914,Physicist,No shortage,No shortage,1
252511,Physiotherapist,Shortage,Shortage,1
394212,Picture Framer,No shortage,No shortage,3
121318,Pig Farmer,No shortage,No shortage,1
842315,Piggery Farm Worker,No shortage,No shortage,4
333211,Plasterer (Wall and Ceiling),Shortage,Shortage,3
253517,Plastic and Reconstructive Surgeon,Shortage,Shortage,1
711511,Plastic Cablemaking Machine Operator,No shortage,No shortage,4
711512,Plastic Compounding and Reclamation Machine Operator,No shortage,No shortage,4
711599,Plastics and Rubber Production Machine Operators nec,No shortage,No shortage,4
711513,Plastics Fabricator or Welder,No shortage,No shortage,4
711514,Plastics Production Machine Operator (General),No shortage,No shortage,4
399916,Plastics Technician,No shortage,No shortage,3
334116,Plumber (General),Shortage,Shortage,3
312115,Plumbing Inspector,No shortage,No shortage,2
252611,Podiatrist,Shortage,Shortage,1
441312,Police Officer,No shortage,No shortage,2
224412,Policy Analyst,No shortage,No shortage,1
132411,Policy and Planning Manager,No shortage,No shortage,1
142115,Post Office Manager,No shortage,No shortage,2
211412,Potter or Ceramic Artist,No shortage,No shortage,1
842316,Poultry Farm Worker,No shortage,No shortage,4
121321,Poultry Farmer,No shortage,No shortage,1
399213,Power Generation Plant Operator,No shortage,No shortage,3
512299,Practice Managers nec,No shortage,No shortage,2
323314,Precision Instrument Maker and Repairer,Shortage,Shortage,3
422115,Preschool Aide,No shortage,No shortage,4
322312,Pressure Welder,Shortage,Shortage,3
134213,Primary Health Organisation Manager,No shortage,No shortage,1
311399,Primary Products Assurance and Inspection Officers nec,No shortage,No shortage,2
311314,Primary Products Quality Assurance Officer,No shortage,No shortage,2
241213,Primary School Teacher,Shortage,Shortage,1
392111,Print Finisher,No shortage,No shortage,3
212413,Print Journalist,No shortage,No shortage,1
899511,Printer's Assistant,No shortage,No shortage,4
392311,Printing Machinist,No shortage,No shortage,3
899512,Printing Table Worker,No shortage,No shortage,4
442111,Prison Officer,No shortage,No shortage,4
442214,Private Investigator,No shortage,No shortage,4
249299,Private Tutors and Teachers nec,No shortage,No shortage,1
133612,Procurement Manager,No shortage,No shortage,1
839311,Product Examiner,No shortage,No shortage,4
839312,Product Grader,No shortage,No shortage,4
839313,Product Tester,No shortage,No shortage,4
599912,"Production Assistant (Film, Television, Radio or Stage)",No shortage,No shortage,4
591112,Production Clerk,No shortage,No shortage,4
133511,Production Manager (Forestry),No shortage,No shortage,1
133512,Production Manager (Manufacturing),No shortage,No shortage,1
133513,Production Manager (Mining),No shortage,No shortage,1
121614,Production Nursery Grower,No shortage,No shortage,1
233513,Production or Plant Engineer,No shortage,No shortage,1
212315,Program Director (Television or Radio),No shortage,No shortage,1
511112,Program or Project Administrator,No shortage,No shortage,2
133112,Project Builder,No shortage,No shortage,1
599913,Proof Reader,No shortage,No shortage,4
612112,Property Manager,No shortage,No shortage,3
253411,Psychiatrist,Shortage,Shortage,1
272399,Psychologists nec,Shortage,Shortage,1
272314,Psychotherapist,No shortage,No shortage,1
131114,Public Relations Manager,No shortage,No shortage,1
225311,Public Relations Professional,No shortage,No shortage,1
591113,Purchasing Officer,No shortage,No shortage,4
139916,Quality Assurance Manager,No shortage,No shortage,1
233213,Quantity Surveyor,Shortage,Shortage,1
253918,Radiation Oncologist,Shortage,Shortage,1
899414,Radiator Repairer,No shortage,No shortage,4
599914,Radio Despatcher,No shortage,No shortage,4
212414,Radio Journalist,No shortage,No shortage,1
212113,Radio Presenter,No shortage,No shortage,1
313211,Radiocommunications Technician,No shortage,No shortage,2
712917,Railway Signal Operator,No shortage,No shortage,4
149412,Railway Station Manager,No shortage,No shortage,2
721914,Railway Track Plant Operator,Shortage,Shortage,4
821611,Railway Track Worker,Shortage,Shortage,4
612113,Real Estate Agency Principal / Real Estate Agency Licensee,No shortage,No shortage,2
612114,Real Estate Agent,No shortage,No shortage,3
612115,Real Estate Representative,No shortage,No shortage,3
542111,Receptionist (General),No shortage,No shortage,4
224214,Records Manager,No shortage,No shortage,1
272612,Recreation Officer / Recreation Coordinator,No shortage,No shortage,1
223112,Recruitment Consultant,No shortage,No shortage,1
423413,Refuge Worker,No shortage,No shortage,3
134412,Regional Education Manager,No shortage,No shortage,1
254412,Registered Nurse (Aged Care),Shortage,Shortage,1
254413,Registered Nurse (Child and Family Health),Shortage,Shortage,1
254414,Registered Nurse (Community Health),Shortage,Shortage,1
254415,Registered Nurse (Critical Care and Emergency),Shortage,Shortage,1
254416,Registered Nurse (Developmental Disability),Shortage,Shortage,1
254417,Registered Nurse (Disability and Rehabilitation),Shortage,Shortage,1
254421,Registered Nurse (Medical Practice),Regional shortage,Regional shortage,1
254418,Registered Nurse (Medical),Regional shortage,Regional shortage,1
254422,Registered Nurse (Mental Health),Shortage,Shortage,1
254425,Registered Nurse (Paediatrics),Shortage,Shortage,1
254423,Registered Nurse (Perioperative),Shortage,Shortage,1
254424,Registered Nurse (Surgical),Regional shortage,Regional shortage,1
254499,Registered Nurses nec,No shortage,No shortage,1
139917,Regulatory Affairs Manager,No shortage,No shortage,1
272114,Rehabilitation Counsellor,Shortage,Shortage,1
711515,Reinforced Plastic and Composite Production Worker,Shortage,Shortage,4
451816,Religious Assistant,No shortage,No shortage,4
253322,Renal Medicine Specialist,Shortage,Shortage,1
333212,Renderer (Solid Plaster),Shortage,Shortage,3
132511,Research and Development Manager,No shortage,No shortage,1
253112,Resident Medical Officer,Shortage,Shortage,1
411715,Residential Care Officer,No shortage,No shortage,2
234612,Respiratory Scientist,No shortage,No shortage,1
311217,Respiratory Technician,No shortage,No shortage,2
639211,Retail Buyer,No shortage,No shortage,3
142111,Retail Manager (General),No shortage,No shortage,2
251513,Retail Pharmacist,Shortage,Shortage,1
621511,Retail Supervisor,No shortage,No shortage,4
141912,Retirement Village Manager,No shortage,No shortage,2
253323,Rheumatologist,Shortage,Shortage,1
721915,Road Roller Operator,Shortage,Shortage,4
334115,Roof Plumber,Shortage,Shortage,3
333311,Roof Tiler,Shortage,Shortage,3
711516,Rubber Production Machine Operator,No shortage,No shortage,4
312611,Safety Inspector,No shortage,No shortage,2
393113,Sail Maker,No shortage,No shortage,3
131112,Sales and Marketing Manager,No shortage,No shortage,1
611311,Sales Representative (Building and Plumbing Supplies),No shortage,No shortage,4
611312,Sales Representative (Business Services),No shortage,No shortage,4
225411,Sales Representative (Industrial Products),No shortage,No shortage,1
225412,Sales Representative (Medical and Pharmaceutical Products),No shortage,No shortage,1
611313,Sales Representative (Motor Vehicle Parts and Accessories),No shortage,No shortage,4
611314,Sales Representative (Personal and Household Goods),No shortage,No shortage,4
611399,Sales Representatives nec,No shortage,No shortage,4
711913,Sand Blaster,No shortage,No shortage,4
323315,Saw Doctor,Shortage,Shortage,3
711313,Sawmilling Operator,Shortage,Shortage,4
821712,Scaffolder,Shortage,Shortage,4
311414,School Laboratory Technician,No shortage,No shortage,2
134311,School Principal,No shortage,No shortage,1
311499,Science Technicians nec,No shortage,No shortage,2
392112,Screen Printer,No shortage,No shortage,3
211413,Sculptor,No shortage,No shortage,1
241411,Secondary School Teacher,Shortage,Shortage,1
521211,Secretary (General),No shortage,No shortage,2
442216,Security Consultant,No shortage,No shortage,3
442217,Security Officer,No shortage,No shortage,4
363199,"Senior Aquaculture, Crop and Forestry Workers nec",No shortage,No shortage,3
363211,Senior Beef Cattle Station Worker,No shortage,No shortage,3
363115,Senior Broadacre Crop and Livestock Farm Worker,No shortage,No shortage,3
363116,Senior Broadacre Crop Farm Worker,No shortage,No shortage,3
363212,Senior Cattle and Sheep Farm Worker,No shortage,No shortage,3
363213,Senior Dairy Cattle Farm Worker,No shortage,No shortage,3
363299,Senior Livestock Farm Workers nec,No shortage,No shortage,3
363214,Senior Piggery Stockperson,No shortage,No shortage,3
363215,Senior Sheep Farm Worker,No shortage,No shortage,3
711611,Sewing Machinist,No shortage,No shortage,4
363311,Shearer,No shortage,No shortage,3
842317,Sheep Farm Worker,No shortage,No shortage,4
121322,Sheep Farmer,No shortage,No shortage,1
322211,Sheetmetal Worker,Shortage,Shortage,3
231212,Ship's Engineer,Shortage,Shortage,2
231213,Ship's Master,Shortage,Shortage,2
231214,Ship's Officer,Shortage,Shortage,2
399112,Shipwright,Shortage,Shortage,3
393114,Shoemaker,No shortage,No shortage,3
712213,Shot Firer,No shortage,No shortage,4
399611,Signwriter,No shortage,No shortage,3
211214,Singer,No shortage,No shortage,1
831212,Slaughterer,No shortage,No shortage,4
321214,Small Engine Mechanic,Shortage,Shortage,3
392312,Small Offset Printer,No shortage,No shortage,3
452314,Snowsport Instructor,No shortage,No shortage,3
272499,Social Professionals nec,No shortage,No shortage,1
599515,Social Security Assessor,No shortage,No shortage,4
272511,Social Worker,No shortage,Regional shortage,1
261399,Software and Applications Programmers nec,No shortage,No shortage,1
261313,Software Engineer,No shortage,No shortage,1
261314,Software Tester,Shortage,Shortage,1
271311,Solicitor,Shortage,Shortage,1
251214,Sonographer,Shortage,Shortage,1
399516,Sound Technician,Shortage,Shortage,3
241599,Special Education Teachers nec,Shortage,Shortage,1
241511,Special Needs Teacher,Shortage,Shortage,1
139999,Specialist Managers nec,No shortage,No shortage,1
253311,Specialist Physician (General Medicine),Shortage,Shortage,1
253399,Specialist Physicians nec,Shortage,Shortage,1
252712,Speech Pathologist / Speech Language Therapist,Shortage,Shortage,1
139915,Sports Administrator,No shortage,No shortage,1
149113,Sports Centre Manager,No shortage,No shortage,2
452321,Sports Development Officer,No shortage,No shortage,2
362312,Sports Turf Manager,Shortage,Shortage,2
362313,Sports Turf Trades Worker,No shortage,No shortage,3
452322,Sports Umpire,No shortage,No shortage,3
212316,Stage Manager,No shortage,No shortage,1
712999,Stationary Plant Operators nec,No shortage,No shortage,4
552314,Statistical Clerk,No shortage,No shortage,4
224116,Statistician,No shortage,No shortage,1
821713,Steel Fixer,Shortage,Shortage,4
711914,Sterilisation Technician,No shortage,No shortage,4
611112,Stock and Station Agent,No shortage,No shortage,3
591115,Stock Clerk,No shortage,No shortage,4
222213,Stockbroking Dealer,No shortage,No shortage,1
711114,Stone Processing Machine Operator,No shortage,No shortage,4
331112,Stonemason,Shortage,Shortage,3
741111,Storeperson,No shortage,No shortage,4
721916,Streetsweeper Operator,No shortage,No shortage,4
233214,Structural Engineer,Shortage,Shortage,1
821714,Structural Steel Erector,Shortage,Shortage,4
272115,Student Counsellor,No shortage,No shortage,1
842217,Sugar Cane Farm Worker,No shortage,No shortage,4
121513,Sugar Cane Grower,No shortage,No shortage,1
133611,Supply and Distribution Manager,No shortage,No shortage,1
224714,Supply Chain Analyst,No shortage,No shortage,1
253511,Surgeon (General),Shortage,Shortage,1
312116,Surveying or Spatial Science Technician,Shortage,Shortage,2
232212,Surveyor,Shortage,Shortage,1
452315,Swimming Coach or Instructor,Shortage,Shortage,4
262113,Systems Administrator,No shortage,No shortage,1
261112,Systems Analyst,No shortage,No shortage,1
733114,Tanker Driver,No shortage,No shortage,4
221113,Taxation Accountant,Shortage,Shortage,1
599516,Taxation Inspector,No shortage,No shortage,4
731112,Taxi Driver,No shortage,No shortage,4
249311,Teacher of English to Speakers of Other Languages,No shortage,No shortage,1
241512,Teacher of the Hearing Impaired,Shortage,Shortage,1
241513,Teacher of the Sight Impaired,Shortage,Shortage,1
422116,Teachers' Aide,No shortage,No shortage,4
342212,Technical Cable Jointer,Shortage,Shortage,3
212317,Technical Director,No shortage,No shortage,1
225499,Technical Sales Representatives nec,No shortage,No shortage,1
212415,Technical Writer,No shortage,No shortage,1
399999,Technicians and Trades Workers nec,No shortage,No shortage,3
342412,Telecommunications Cable Jointer,Shortage,Shortage,3
263311,Telecommunications Engineer,No shortage,No shortage,1
313212,Telecommunications Field Engineer,No shortage,No shortage,2
342413,Telecommunications Linesworker / Telecommunications Line Mechanic,Shortage,Shortage,3
263312,Telecommunications Network Engineer,No shortage,No shortage,1
313213,Telecommunications Network Planner,No shortage,No shortage,2
313214,Telecommunications Technical Officer or Technologist,No shortage,No shortage,2
342414,Telecommunications Technician,Shortage,Shortage,3
399517,Television Equipment Operator,No shortage,No shortage,3
212416,Television Journalist,No shortage,No shortage,1
212114,Television Presenter,No shortage,No shortage,1
452316,Tennis Coach,No shortage,No shortage,4
711799,Textile and Footwear Production Machine Operators nec,No shortage,No shortage,4
711714,Textile Dyeing and Finishing Machine Operator,No shortage,No shortage,4
323215,"Textile, Clothing and Footwear Mechanic",No shortage,No shortage,3
423314,Therapy Aide,No shortage,No shortage,4
253324,Thoracic Medicine Specialist,Shortage,Shortage,1
323412,Toolmaker,Shortage,Shortage,3
451412,Tour Guide,Shortage,Shortage,3
451611,Tourist Information Officer,No shortage,No shortage,4
733115,Tow Truck Driver,No shortage,No shortage,4
361116,Track Rider,No shortage,No shortage,3
252214,Traditional Chinese Medicine Practitioner,No shortage,No shortage,1
712918,Train Controller,No shortage,No shortage,4
731311,Train Driver,Regional shortage,Regional shortage,4
599517,Train Examiner,No shortage,No shortage,4
223311,Training and Development Professional,No shortage,No shortage,1
731312,Tram Driver,No shortage,No shortage,4
272413,Translator,No shortage,No shortage,1
149413,Transport Company Manager,No shortage,No shortage,2
233215,Transport Engineer,Shortage,Shortage,1
599518,Transport Operations Inspector,No shortage,No shortage,4
142116,Travel Agency Manager,No shortage,No shortage,2
451799,Travel Attendants nec,No shortage,No shortage,4
451612,Travel Consultant,Shortage,Shortage,3
843113,Tree Faller,No shortage,No shortage,4
362512,Tree Worker,Shortage,Shortage,3
452216,Trekking Guide,No shortage,No shortage,3
733111,Truck Driver (General),Shortage,Shortage,4
599215,Trust Officer,No shortage,No shortage,3
121615,Turf Grower,No shortage,No shortage,1
899415,Tyre Fitter,No shortage,No shortage,4
242111,University Lecturer,No shortage,No shortage,1
242112,University Tutor,No shortage,No shortage,1
393311,Upholsterer,Shortage,Shortage,3
232611,Urban and Regional Planner,Regional shortage,Regional shortage,1
253518,Urologist,Shortage,Shortage,1
261113,User Experience Designer (ICT),No shortage,No shortage,1
224512,Valuer,No shortage,No shortage,1
253521,Vascular Surgeon,Shortage,Shortage,1
121616,Vegetable Grower,No shortage,No shortage,1
324211,Vehicle Body Builder,Shortage,Shortage,3
324311,Vehicle Painter,Shortage,Shortage,3
324212,Vehicle Trimmer,Shortage,Shortage,3
234711,Veterinarian,Shortage,Shortage,1
361311,Veterinary Nurse,Shortage,Shortage,3
212318,Video Producer,No shortage,No shortage,1
363117,Vineyard Supervisor,No shortage,No shortage,3
842222,Vineyard Worker,No shortage,No shortage,4
211499,Visual Arts and Crafts Professionals nec,No shortage,No shortage,1
639511,Visual Merchandiser,No shortage,No shortage,4
242211,Vocational Education Teacher / Polytechnic Teacher,Shortage,Shortage,1
431511,Waiter,No shortage,No shortage,4
333411,Wall and Floor Tiler,Shortage,Shortage,3
591116,Warehouse Administrator,No shortage,No shortage,4
712921,Waste Water or Water Plant Operator,No shortage,Shortage,4
323316,Watch and Clock Maker and Repairer,No shortage,No shortage,3
599521,Water Inspector,No shortage,No shortage,4
711715,Weaving Machine Operator,No shortage,No shortage,4
313113,Web Administrator,No shortage,No shortage,2
232414,Web Designer,No shortage,No shortage,1
261212,Web Developer,No shortage,No shortage,1
712922,Weighbridge Operator,No shortage,No shortage,4
451512,Weight Loss Consultant,No shortage,No shortage,4
322313,Welder (First Class),Shortage,Shortage,3
134214,Welfare Centre Manager,No shortage,No shortage,1
272613,Welfare Worker,No shortage,Regional shortage,1
452217,Whitewater Rafting Guide,No shortage,No shortage,3
133312,Wholesaler,No shortage,No shortage,1
121617,Wine Grape Grower,No shortage,No shortage,1
234213,Wine Maker,No shortage,No shortage,1
394213,Wood Machinist,Shortage,Shortage,3
394299,Wood Machinists and Other Wood Trades Workers nec,No shortage,No shortage,3
394214,Wood Turner,No shortage,No shortage,3
639212,Wool Buyer,No shortage,No shortage,3
363312,Wool Classer,No shortage,No shortage,3
532113,Word Processing Operator,No shortage,No shortage,4
223113,Workplace Relations Adviser,No shortage,No shortage,1
711716,Yarn Carding and Spinning Machine Operator,No shortage,No shortage,4
411716,Youth Worker,No shortage,No shortage,2
361114,Zookeeper,No shortage,No shortage,3
234522,Zoologist,No shortage,No shortage,1
