anzsco_code,occupation_title,national_shortage_rating,nsw_rating,vic_rating,qld_rating,sa_rating,wa_rating,tas_rating,nt_rating,act_rating,skill_level,major_occupation_group,classification_system,major_group_code,major_group_label
253312,Cardiologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253313,Clinical Haematologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253314,Medical Oncologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253315,Endocrinologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253316,Gastroenterologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253317,Intensive Care Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253318,Neurologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253321,Paediatrician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253322,Renal Medicine Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253323,Rheumatologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253324,Thoracic Medicine Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253399,Specialist Physicians NEC,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253411,Psychiatrist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253511,Surgeon (General),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253512,Cardiothoracic Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253513,Neurosurgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253514,Orthopaedic Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253515,Otorhinolaryngologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
253516,Paediatric Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
253517,Plastic And Reconstructive Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253518,Urologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253521,Vascular Surgeon,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
253911,Dermatologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253912,Emergency Medicine Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253913,Obstetrician And Gynaecologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253914,Ophthalmologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253915,Pathologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253917,Diagnostic And Interventional Radiologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253918,Radiation Oncologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
253999,Medical Practitioners NEC,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254111,Midwife,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254211,Nurse Educator,No Shortage,No Shortage,Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254212,Nurse Researcher,No Shortage,No Shortage,No Shortage,Shortage,Shortage,No Shortage,No Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254311,Nurse Manager,No Shortage,No Shortage,No Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
254411,Nurse Practitioner,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254412,Registered Nurse (Aged Care),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254413,Registered Nurse (Child And Family Health),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254414,Registered Nurse (Community Health),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254415,Registered Nurse (Critical Care And Emergency),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254416,Registered Nurse (Developmental Disability),Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
254417,Registered Nurse (Disability And Rehabilitation),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254418,Registered Nurse (Medical),Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254421,Registered Nurse (Medical Practice),Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254422,Registered Nurse (Mental Health),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254423,Registered Nurse (Perioperative),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254424,Registered Nurse (Surgical),Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254425,Registered Nurse (Paediatrics),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
254499,Registered Nurses NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
261111,ICT Business Analyst,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
261112,Systems Analyst,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
261113,User Experience Designer (ICT),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
261211,Multimedia Specialist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
261212,Web Developer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
261311,Analyst Programmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
261312,Developer Programmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
261313,Software Engineer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
261314,Software Tester,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
261315,Cyber Security Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
261316,Devops Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
261317,Penetration Tester,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
261399,Software And Applications Programmers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
262111,Database Administrator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
262113,Systems Administrator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
262114,Cyber Governance Risk And Compliance Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
262115,Cyber Security Advice And Assessment Specialist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
262116,Cyber Security Analyst,No Shortage,No Shortage,No Shortage,Shortage,Shortage,No Shortage,No Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
262117,Cyber Security Architect,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
262118,Cyber Security Operations Coordinator,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
263111,Computer Network And Systems Engineer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
263112,Network Administrator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
263113,Network Analyst,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
263211,ICT Quality Assurance Engineer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
263212,ICT Support Engineer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
263213,ICT Systems Test Engineer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
263299,ICT Support And Test Engineers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
263311,Telecommunications Engineer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
263312,Telecommunications Network Engineer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
271111,Barrister,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
271214,Intellectual Property Lawyer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
271299,Judicial And Other Legal Professionals NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
271311,Solicitor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
272111,Careers Counsellor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272112,Drug And Alcohol Counsellor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272113,Family And Marriage Counsellor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272114,Rehabilitation Counsellor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
272115,Student Counsellor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272199,Counsellors NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272211,Minister Of Religion,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272311,Clinical Psychologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
272312,Educational Psychologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
272313,Organisational Psychologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
272314,Psychotherapist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272399,Psychologists NEC,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
272411,Historian,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272412,Interpreter,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272413,Translator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272414,Archaeologist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272499,Social Professionals NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272511,Social Worker,No Shortage,No Shortage,Regional Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,Shortage,1,2,ANZSCO_2022,2,Professionals
272611,Community Arts Worker,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272612,Recreation Officer / Recreation Coordinator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
272613,Welfare Worker,No Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,2,ANZSCO_2022,2,Professionals
311112,Agricultural And Agritech Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311113,Animal Husbandry Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311114,Aquaculture Or Fisheries Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311115,Irrigation Designer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311211,Anaesthetic Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311212,Cardiac Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311213,Medical Laboratory Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311214,Operating Theatre Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3,3,ANZSCO_2022,3,Technicians and Trades Workers
311215,Pharmacy Technician,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311216,Pathology Collector / Phlebotomist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3,3,ANZSCO_2022,3,Technicians and Trades Workers
311217,Respiratory Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311299,Medical Technicians NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311311,Fisheries Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311312,Meat Inspector,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311313,Biosecurity Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311314,Primary Products Quality Assurance Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311399,Primary Products Assurance And Inspection Officers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311411,Chemistry Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311412,Earth Science Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311413,Life Science Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311414,School Laboratory Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311415,Hydrographer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
311499,Science Technicians NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312111,Architectural Draftsperson,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312112,Building Associate,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312113,Building Inspector,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312114,Construction Estimator,Regional Shortage,Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Shortage,Regional Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312115,Plumbing Inspector,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312116,Surveying Or Spatial Science Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312199,"Architectural, Building And Surveying Technicians NEC",No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312211,Civil Engineering Draftsperson,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312212,Civil Engineering Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312311,Electrical Engineering Draftsperson,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312312,Electrical Engineering Technician,Metro Shortage,Metro Shortage,Metro Shortage,Metro Shortage,Metro Shortage,Metro Shortage,Metro Shortage,Metro Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312411,Electronic Engineering Draftsperson,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312412,Electronic Engineering Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312511,Mechanical Engineering Draftsperson,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312512,Mechanical Engineering Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312611,Safety Inspector,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312911,Maintenance Planner,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312912,Metallurgical Or Materials Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312913,Mine Deputy,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312914,Other Draftsperson,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
312999,Building And Engineering Technicians NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
313111,Hardware Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
313112,ICT Customer Support Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
313113,Web Administrator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
313199,ICT Support Technicians NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
313211,Radiocommunications Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
313212,Telecommunications Field Engineer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
313213,Telecommunications Network Planner,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
313214,Telecommunications Technical Officer Or Technologist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2,3,ANZSCO_2022,3,Technicians and Trades Workers
321111,Automotive Electrician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3,3,ANZSCO_2022,3,Technicians and Trades Workers
321211,Motor Mechanic (General),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3,3,ANZSCO_2022,3,Technicians and Trades Workers
321212,Diesel Motor Mechanic,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3,3,ANZSCO_2022,3,Technicians and Trades Workers
